Branch code,Branch name
MGL000,JNE MAGELANG
TJQ000,JNE TANJUNG PANDAN
TNJ000,JNE TANJUNG PINANG
UPG000,JNE MAKASSAR
BTJ000,JNE BANDA ACEH
CBN000,JNE CIREBON
TSM000,JNE TASIKMALAYA
BTH000,JNE BATAM
SMD000,JNE SAMARINDA
BDJ000,JNE BANJARMASIN
TKG000,JNE BANDAR LAMPUNG
BPN000,JNE BALIKPAPAN
CXP000,JNE CILACAP
DJJ000,JNE JAYAPURA
KDI000,JNE KENDARI
PKY000,JNE PALANGKARAYA
PGK000,JNE PANGKAL PINANG
CGK000,JNE JAKARTA
MDC000,JNE MANADO
TGR000,JNE TANGERANG
TRK000,JNE TARAKAN
CGK001,JNE HEAD OFFICE
BDO000,JNE BANDUNG
SUB000,JNE SURABAYA
AMI000,JNE MATARAM
AMQ000,JNE AMBON
BKI000,JNE BEKASI
BKS000,JNE BENGKULU
BOO000,JNE BOGOR
BTG000,JNE BONTANG
CLG000,JNE CILEGON
DJB000,JNE JAMBI
DPS000,JNE DENPASAR
GTO000,JNE GORONTALO
JBR000,JNE JEMBER
JOG000,JNE YOGYAKARTA
KDR000,JNE KEDIRI
KOE000,JNE KUPANG
MDN000,JNE MADIUN
PDG000,JNE PADANG
PLM000,JNE PALEMBANG
PLW000,JNE PALU
PKU000,JNE PEKANBARU
PNK000,JNE PONTIANAK
MES000,JNE MEDAN
MXG000,JNE MALANG
PBL000,JNE PROBOLINGGO
SRG000,JNE SEMARANG
SOC000,JNE SOLO
SMI000,JNE SUKABUMI
MJK000,JNE MOJOKERTO
TTE000,JNE TERNATE
DPK000,JNE DEPOK
SOQ000,JNE SORONG
OSL000,OSLO
KRW000,JNE KARAWANG
SIN000,JNE SINGAPURA
LHR000,JNE LHR
HKG000,JNE HONGKONG
TIM000,JNE TIMIKA
SEL000,JNE KOREA
USA000,JNE USA
MNL000,JNE PHILIPINES
BKK000,JNE THAILAND
NBX000,JNE NABIRE
UPX000,MAKASSAR GATEWAY
CKR000,JNE CIKARANG
SUX000,SURABAYA GATEWAY
CGX000,JAKARTA GATEWAY
ADX000,ANDORRA
AEX000,UNITED ARAB EMIRATES
AFX000,AFGHANISTAN
AGX000,ANTIGUA
AIX000,ANGUILLA
ALX000,ALBANIA
AMX000,ARMENIA
AOX000,ANGOLA
ARX000,ARGENTINA
ASX000,AMERICAN SAMOA
ATX000,AUSTRIA
AUX000,AUSTRALIA
AWX000,ARUBA
AZX000,AZERBAIJAN
BAX000,BOSNIA & HERZEGOVINA
BBX000,BARBADOS
BDX000,BANGLADESH
BEX000,BELGIUM
BFX000,BURKINA FASO
BGX000,BULGARIA
BHX000,BAHRAIN
BIX000,BURUNDI
BJX000,BENIN
BMX000,BERMUDA
BNX000,BRUNEI
BOX000,BOLIVIA
BRX000,BRAZIL
BSX000,BAHAMAS
BTX000,BHUTAN
BWX000,BOTSWANA
BYX000,BELARUS
BZX000,BELIZE
CAX000,CANADA
CDX000,"CONGO, THE DEMOCRATIC REPUBLIC"
CFX000,CENTRAL AFRICAN REP.
CHX000,SWITZERLAND
CIX000,COTE D IVOIRE
CKX000,COOK ISLANDS
CLX000,CHILE
CMX000,CAMEROON
COX000,COLOMBIA
CNX000,CHINA I
CNY000,CHINA II
CRX000,COSTA RICA
CUX000,CUBA
CVX000,CAPE VERDE
